	feature	gold	prediction	proportion
0	hi	+	-	0.0835
1	front	-	+	0.0601
2	back	+	-	0.0522
3	lo	-	+	0.0485
4	hi	-	+	0.0428
5	lo	+	-	0.038
6	cont	-	+	0.0349
7	strid	+	-	0.0317
8	voi	+	-	0.0312
9	hitone	+	-	0.031
10	tense	+	-	0.0304
11	tense	-	+	0.0261
12	long	+	-	0.0232
13	sg	-	+	0.023
14	front	+	-	0.0228
15	voi	-	+	0.0197
16	cg	+	-	0.0187
17	long	-	+	0.0186
18	loreg	-	+	0.0174
19	dorsal	-	+	0.0171
20	ant	+	-	0.0169
21	round	+	-	0.0167
22	sg	+	-	0.0142
23	cont	+	-	0.0123
24	dorsal	+	-	0.0121
25	nas	-	+	0.0109
26	cons	-	+	0.0105
27	back	-	+	0.0094
28	hireg	-	+	0.0092
29	lab	-	+	0.0084
30	dorsal	+	NA	0.0082
31	hitone	-	+	0.008
32	ant	-	NA	0.0076
33	distr	+	NA	0.0074
34	son	-	+	0.0073
35	distr	-	+	0.0071
36	ant	-	+	0.007
37	loreg	+	-	0.0066
38	strid	+	NA	0.0062
39	distr	NA	-	0.0058
40	cons	+	-	0.0054
41	hireg	+	-	0.0053
42	ant	NA	+	0.0053
43	delrel	NA	-	0.0044
44	cor	NA	+	0.0043
45	cor	+	-	0.0043
46	strid	NA	+	0.0042
47	ant	NA	-	0.0039
48	lab	NA	-	0.0039
49	delrel	+	-	0.0039
50	ant	+	NA	0.0039
51	dorsal	NA	+	0.0038
52	distr	+	-	0.0038
53	round	-	+	0.0037
54	opening	NA	-	0.0037
55	laryngeal	+	-	0.0036
56	lat	+	-	0.0035
57	laryngeal	-	+	0.0035
58	cg	-	+	0.0033
59	backshift	NA	-	0.0033
60	secondrounded	NA	-	0.0033
61	falling	+	-	0.0033
62	lab	-	NA	0.0031
63	lab	+	-	0.0028
64	son	+	-	0.0025
65	delrel	-	+	0.0023
66	strid	-	NA	0.0023
67	cor	NA	-	0.0023
68	syl	+	-	0.0022
69	falling	-	+	0.002
70	strid	-	+	0.002
71	cons	NA	+	0.002
72	hi	NA	+	0.002
73	hitone	+	NA	0.002
74	loreg	+	NA	0.002
75	lo	-	NA	0.002
76	distr	-	NA	0.0017
77	tense	NA	+	0.0013
78	cor	-	+	0.0013
79	syl	-	+	0.0013
80	front	-	NA	0.0012
81	round	-	NA	0.0012
82	nas	NA	+	0.0012
83	tense	NA	-	0.0012
84	nas	+	-	0.0008
85	delrel	-	NA	0.0008
86	tense	-	NA	0.0008
87	frontshift	NA	-	0.0007
88	dorsal	NA	-	0.0007
89	closing	NA	+	0.0005
90	tense	+	NA	0.0005
91	cor	+	NA	0.0005
92	cor	-	NA	0.0003
93	longdistance	NA	+	0.0003
94	dorsal	-	NA	0.0003
95	longdistance	+	NA	0.0002
96	lab	+	NA	0.0002
97	backshift	NA	+	0.0002
98	centering	NA	-	0.0002
99	distr	NA	+	0.0002
100	strid	NA	-	0.0002
101	centering	+	NA	0.0002
