	feature	gold	prediction	proportion
0	long	+	-	0.1393
1	tense	+	-	0.1214
2	long	-	+	0.1114
3	tense	-	+	0.0706
4	hi	+	-	0.0607
5	hi	-	+	0.0269
6	front	-	+	0.0259
7	back	+	-	0.0239
8	cont	+	-	0.0219
9	round	+	-	0.0209
10	voi	+	-	0.0179
11	lo	-	+	0.0179
12	cont	-	+	0.0169
13	son	+	-	0.0149
14	front	+	-	0.0149
15	son	-	+	0.0149
16	sg	+	-	0.0139
17	distr	NA	-	0.0129
18	ant	NA	+	0.0119
19	ant	+	NA	0.0119
20	nas	-	+	0.01
21	lab	+	-	0.01
22	distr	-	NA	0.01
23	lab	-	+	0.009
24	cons	+	-	0.009
25	lo	+	-	0.008
26	cor	-	+	0.008
27	round	-	+	0.008
28	syl	-	+	0.008
29	cons	-	+	0.008
30	lab	-	NA	0.007
31	tense	NA	-	0.007
32	strid	+	NA	0.007
33	back	-	+	0.007
34	dorsal	+	-	0.007
35	voi	-	+	0.007
36	dorsal	+	NA	0.006
37	syl	+	-	0.006
38	cor	+	-	0.006
39	nas	+	-	0.005
40	delrel	-	NA	0.005
41	tense	-	NA	0.005
42	dorsal	-	+	0.005
43	delrel	NA	-	0.005
44	strid	NA	+	0.004
45	frontshift	NA	-	0.004
46	cor	NA	+	0.004
47	dorsal	NA	-	0.004
48	closing	NA	+	0.003
49	tense	+	NA	0.003
50	cor	+	NA	0.003
51	cor	-	NA	0.002
52	cor	NA	-	0.002
53	longdistance	NA	+	0.002
54	opening	NA	-	0.002
55	lab	NA	-	0.002
56	dorsal	-	NA	0.002
57	ant	-	+	0.002
58	distr	+	-	0.002
59	ant	-	NA	0.002
60	ant	NA	-	0.002
61	lat	+	-	0.001
62	longdistance	+	NA	0.001
63	distr	+	NA	0.001
64	lab	+	NA	0.001
65	backshift	NA	+	0.001
66	centering	NA	-	0.001
67	dorsal	NA	+	0.001
68	distr	NA	+	0.001
69	laryngeal	-	+	0.001
70	strid	NA	-	0.001
71	centering	+	NA	0.001
72	tense	NA	+	0.001
