	feature	gold	prediction	proportion
0	hitone	+	-	0.1144
1	lo	+	-	0.0984
2	cg	+	-	0.0745
3	voi	+	-	0.0691
4	hi	-	+	0.0479
5	loreg	+	-	0.0452
6	hi	+	-	0.0426
7	cg	-	+	0.0346
8	front	+	-	0.0319
9	cons	-	+	0.0293
10	closing	NA	+	0.0266
11	dorsal	+	-	0.0239
12	lo	-	+	0.0239
13	sg	-	+	0.0213
14	hitone	-	+	0.0213
15	tense	-	+	0.0186
16	distr	-	+	0.0186
17	back	-	+	0.016
18	round	-	+	0.0133
19	cor	+	-	0.0133
20	son	+	-	0.0133
21	ant	+	-	0.0133
22	lab	-	+	0.0106
23	ant	+	NA	0.0106
24	distr	-	NA	0.0106
25	strid	NA	+	0.0106
26	strid	NA	-	0.0106
27	hireg	+	-	0.008
28	ant	NA	-	0.008
29	loreg	-	+	0.008
30	nas	-	+	0.008
31	delrel	-	+	0.0053
32	backshift	NA	-	0.0053
33	ant	NA	+	0.0053
34	hireg	-	+	0.0053
35	opening	NA	-	0.0053
36	distr	NA	+	0.0053
37	front	-	+	0.0053
38	delrel	NA	-	0.0053
39	delrel	+	-	0.0053
40	dorsal	-	+	0.0053
41	voi	-	+	0.0053
42	distr	NA	-	0.0027
43	frontshift	+	-	0.0027
44	closing	-	+	0.0027
45	frontshift	NA	-	0.0027
46	laryngeal	+	-	0.0027
47	hi	NA	+	0.0027
48	strid	+	NA	0.0027
49	ant	-	+	0.0027
50	distr	+	-	0.0027
51	cons	+	-	0.0027
52	dorsal	+	NA	0.0027
53	lab	-	NA	0.0027
54	front	-	NA	0.0027
55	lab	+	-	0.0027
56	dorsal	NA	-	0.0027
57	loreg	+	NA	0.0027
58	son	-	+	0.0027
