	feature	gold	prediction	proportion
0	voi	+	-	0.071
1	front	+	-	0.0648
2	voi	-	+	0.0586
3	lo	+	-	0.0556
4	loreg	-	+	0.0494
5	hi	-	+	0.0463
6	back	+	-	0.0432
7	front	-	+	0.0401
8	distr	NA	+	0.037
9	tense	+	-	0.037
10	hi	+	-	0.037
11	hireg	+	-	0.0309
12	lo	-	+	0.0278
13	tense	-	+	0.0247
14	frontshift	-	NA	0.0247
15	round	+	-	0.0185
16	dorsal	+	-	0.0154
17	longdistance	-	NA	0.0154
18	back	-	+	0.0154
19	ant	NA	+	0.0154
20	ant	NA	-	0.0123
21	lab	+	-	0.0123
22	sg	+	-	0.0123
23	secondrounded	-	NA	0.0123
24	laryngeal	-	+	0.0123
25	cg	-	+	0.0123
26	hitone	+	-	0.0123
27	distr	NA	-	0.0123
28	cg	+	-	0.0123
29	lab	NA	-	0.0093
30	falling	+	-	0.0093
31	hitone	-	+	0.0093
32	round	-	+	0.0093
33	hireg	-	+	0.0062
34	lab	-	+	0.0062
35	cor	-	+	0.0062
36	distr	-	+	0.0062
37	falling	-	+	0.0062
38	centering	-	NA	0.0062
39	longdistance	+	NA	0.0062
40	cons	-	+	0.0062
41	cont	-	+	0.0062
42	delrel	NA	-	0.0031
43	cor	NA	+	0.0031
44	dorsal	NA	+	0.0031
45	tense	NA	+	0.0031
46	strid	NA	-	0.0031
47	closing	+	NA	0.0031
48	opening	-	NA	0.0031
49	secondrounded	+	NA	0.0031
50	distr	-	NA	0.0031
51	sg	-	+	0.0031
52	dorsal	-	+	0.0031
53	strid	NA	+	0.0031
54	ant	-	NA	0.0031
55	distr	+	NA	0.0031
56	nas	-	+	0.0031
57	backshift	-	NA	0.0031
58	lat	-	+	0.0031
59	lat	+	-	0.0031
60	cor	+	-	0.0031
61	cons	+	-	0.0031
62	nas	+	-	0.0031
63	son	+	-	0.0031
