	feature	gold	prediction	proportion
0	hi	+	-	0.0875
1	round	+	-	0.0719
2	hi	-	+	0.0683
3	back	+	-	0.06
4	loreg	+	-	0.054
5	front	+	-	0.0528
6	front	-	+	0.0516
7	loreg	-	+	0.048
8	lo	+	-	0.042
9	cg	+	-	0.0384
10	lo	-	+	0.0372
11	back	-	+	0.0288
12	hitone	+	-	0.0276
13	tense	-	+	0.024
14	round	-	+	0.024
15	hitone	-	+	0.0192
16	voi	+	-	0.018
17	tense	+	-	0.0168
18	ant	-	+	0.0144
19	cont	+	-	0.0132
20	strid	+	NA	0.0108
21	distr	+	-	0.0096
22	dorsal	-	+	0.0084
23	voi	-	+	0.0072
24	sg	+	-	0.0072
25	sg	-	+	0.0072
26	syl	+	-	0.0072
27	dorsal	+	-	0.0072
28	cont	-	+	0.006
29	strid	NA	+	0.006
30	ant	-	NA	0.006
31	distr	+	NA	0.006
32	cor	-	+	0.006
33	lab	NA	-	0.0048
34	distr	NA	+	0.0048
35	backshift	NA	-	0.0048
36	ant	+	-	0.0048
37	distr	-	+	0.0048
38	strid	-	NA	0.0048
39	delrel	NA	-	0.0036
40	ant	NA	-	0.0036
41	nas	-	+	0.0036
42	tense	NA	+	0.0036
43	delrel	-	+	0.0036
44	delrel	+	-	0.0036
45	ant	NA	+	0.0036
46	dorsal	NA	+	0.0024
47	nas	NA	+	0.0024
48	cor	+	-	0.0024
49	lab	+	-	0.0024
50	cor	+	NA	0.0024
51	laryngeal	+	-	0.0024
52	front	-	NA	0.0024
53	laryngeal	-	+	0.0024
54	distr	NA	-	0.0024
55	dorsal	+	NA	0.0012
56	long	-	NA	0.0012
57	cons	-	+	0.0012
58	round	+	NA	0.0012
59	opening	NA	-	0.0012
60	round	-	NA	0.0012
61	hi	-	NA	0.0012
62	ant	+	NA	0.0012
63	distr	-	NA	0.0012
64	cg	-	NA	0.0012
65	lo	-	NA	0.0012
66	back	+	NA	0.0012
67	hireg	NA	-	0.0012
68	falling	+	-	0.0012
69	strid	+	-	0.0012
70	closing	NA	+	0.0012
71	secondrounded	NA	-	0.0012
72	hireg	+	-	0.0012
73	syl	-	+	0.0012
74	delrel	-	NA	0.0012
75	strid	-	+	0.0012
76	son	-	+	0.0012
77	dorsal	NA	-	0.0012
78	round	NA	-	0.0012
79	hitone	-	NA	0.0012
80	rising	-	NA	0.0012
81	backshift	NA	+	0.0012
