	feature	gold	prediction	proportion
0	hitone	+	-	0.111
1	hi	-	+	0.0561
2	tense	-	+	0.0479
3	hi	+	-	0.0397
4	front	-	+	0.0374
5	front	+	-	0.0339
6	dorsal	-	+	0.0327
7	back	+	-	0.0315
8	ant	+	-	0.0315
9	distr	-	+	0.028
10	cons	+	-	0.0257
11	ant	-	+	0.0245
12	hireg	+	-	0.0245
13	cont	+	-	0.0187
14	falling	-	+	0.0187
15	loreg	+	-	0.0175
16	strid	-	NA	0.0164
17	delrel	+	-	0.0164
18	cons	-	+	0.0164
19	nas	-	+	0.0164
20	round	+	-	0.0152
21	sg	+	-	0.0152
22	distr	+	NA	0.0152
23	loreg	-	+	0.0129
24	tense	+	-	0.0129
25	lo	+	-	0.0117
26	back	-	+	0.0117
27	strid	-	+	0.0117
28	hireg	-	+	0.0117
29	ant	+	NA	0.0117
30	dorsal	+	-	0.0105
31	ant	-	NA	0.0105
32	tense	NA	+	0.0105
33	round	-	+	0.0093
34	lo	-	+	0.0093
35	voi	-	+	0.0093
36	distr	+	-	0.0082
37	delrel	NA	-	0.0082
38	dorsal	NA	+	0.0082
39	distr	-	NA	0.0082
40	dorsal	+	NA	0.007
41	voi	+	-	0.007
42	cor	-	+	0.007
43	strid	+	NA	0.007
44	ant	NA	-	0.007
45	distr	NA	+	0.007
46	cont	-	+	0.007
47	nas	+	-	0.0058
48	strid	NA	+	0.0058
49	cor	+	NA	0.0058
50	lab	NA	-	0.0058
51	cor	NA	+	0.0047
52	lab	-	NA	0.0047
53	distr	NA	-	0.0035
54	delrel	-	+	0.0035
55	hitone	-	+	0.0023
56	voi	NA	+	0.0023
57	sg	-	+	0.0023
58	cor	+	-	0.0023
59	son	-	+	0.0023
60	strid	+	-	0.0023
61	tense	NA	-	0.0023
62	son	+	-	0.0023
63	dorsal	-	NA	0.0023
64	syl	-	+	0.0023
65	tense	+	NA	0.0023
66	cor	NA	-	0.0023
67	lab	+	-	0.0023
68	tense	-	NA	0.0012
69	ant	NA	+	0.0012
70	syl	NA	+	0.0012
71	son	NA	+	0.0012
72	lo	NA	+	0.0012
73	hitone	-	NA	0.0012
74	hitone	+	NA	0.0012
75	loreg	+	NA	0.0012
76	delrel	-	NA	0.0012
77	lab	-	+	0.0012
78	falling	+	-	0.0012
79	laryngeal	+	-	0.0012
