	feature	gold	prediction	proportion
0	front	+	-	0.1037
1	front	-	+	0.1037
2	hi	-	+	0.0963
3	lo	+	-	0.0741
4	hi	+	-	0.0593
5	back	+	-	0.0444
6	strid	NA	-	0.0444
7	delrel	+	-	0.0444
8	laryngeal	+	-	0.0444
9	son	+	-	0.037
10	cont	-	+	0.0296
11	strid	+	NA	0.0296
12	dorsal	-	+	0.0222
13	ant	+	-	0.0222
14	lo	-	+	0.0222
15	back	-	+	0.0222
16	cons	-	+	0.0222
17	distr	-	+	0.0148
18	strid	NA	+	0.0148
19	strid	-	NA	0.0148
20	cont	+	-	0.0148
21	voi	+	-	0.0148
22	delrel	NA	-	0.0074
23	dorsal	NA	-	0.0074
24	lab	NA	-	0.0074
25	cor	-	+	0.0074
26	ant	NA	+	0.0074
27	distr	NA	-	0.0074
28	voi	-	+	0.0074
29	round	-	+	0.0074
30	ant	-	+	0.0074
31	distr	+	-	0.0074
32	round	+	-	0.0074
33	tense	-	+	0.0074
34	lab	-	NA	0.0074
35	ant	NA	-	0.0074
