	gold	prediction	proportion
0	j	-	0.0577
1	ɔ	o	0.0385
2	u	o	0.0385
3	⁵	⁴	0.0321
4	ŋ	n	0.0321
5	j	r	0.0256
6	e	ɛ	0.0256
7	p	pʰ	0.0256
8	ɛ	e	0.0192
9	ɯ	ɯ̃	0.0192
10	¹	⁴	0.0192
11	ŋ	-	0.0192
12	o	ɔ	0.0192
13	-	r	0.0192
14	r	-	0.0128
15	j	o	0.0128
16	o	ŋ	0.0128
17	æ	a	0.0128
18	⁵	³	0.0128
19	¹	²	0.0128
20	o	-	0.0128
21	æ	r	0.0128
22	n	æ	0.0128
23	i	ɛ	0.0128
24	⁴	²	0.0128
25	tʲ	d	0.0128
26	ɯ	j	0.0128
27	-	j	0.0128
28	i	-	0.0128
29	sʰ	s	0.0128
30	³	¹	0.0128
31	-	o	0.0128
32	i	r	0.0128
33	ɯ	i	0.0128
34	tɕ	ts	0.0128
35	³	⁴	0.0128
36	j	i	0.0128
37	æ	-	0.0064
38	r	æ	0.0064
39	n	j	0.0064
40	ʈ	ts	0.0064
41	-	ɔ	0.0064
42	u	ɯ	0.0064
43	u	-	0.0064
44	⁴	¹	0.0064
45	h	χ	0.0064
46	⁴	³	0.0064
47	a	j	0.0064
48	ã	ɔ	0.0064
49	ʁ	ŋ	0.0064
50	ɔ	-	0.0064
51	ɛ	i	0.0064
52	a	ɛ	0.0064
53	ʂ	s	0.0064
54	ø	o	0.0064
55	e	-	0.0064
56	ɖʐ	z	0.0064
57	u	i	0.0064
58	ɕ	s	0.0064
59	w	r	0.0064
60	qʰ	kʰ	0.0064
61	o	r	0.0064
62	³	⁵	0.0064
63	ə	ɛ	0.0064
64	ɯ	-	0.0064
65	w	j	0.0064
66	-	tʰ	0.0064
67	tɕ	j	0.0064
68	s	sʰ	0.0064
69	²¹	¹	0.0064
70	³	-	0.0064
71	t	d	0.0064
72	e	i	0.0064
73	a	o	0.0064
74	ɣ	q	0.0064
75	-	n	0.0064
76	ts	d	0.0064
77	²	¹	0.0064
78	r	j	0.0064
79	a	æ	0.0064
80	b	p	0.0064
81	a	r	0.0064
82	ŋ	æ	0.0064
83	a	ɔ	0.0064
84	n	²	0.0064
85	dʑ	d	0.0064
