	gold	prediction	proportion
0	o	u	0.0988
1	a	ɨ	0.0741
2	h	-	0.0617
3	ɨ	i	0.0617
4	a	-	0.0617
5	ts	t	0.0494
6	-	r	0.0494
7	-	k	0.037
8	i	-	0.037
9	-	u	0.037
10	-	ɨ	0.037
11	e	ɨ	0.037
12	-	a	0.0247
13	-	i	0.0247
14	-	h	0.0247
15	i	ɨ	0.0247
16	a	r	0.0123
17	-	ts	0.0123
18	w	-	0.0123
19	ɨ	-	0.0123
20	r	-	0.0123
21	p	s	0.0123
22	o	i	0.0123
23	t	k	0.0123
24	e	a	0.0123
25	tʃ	ts	0.0123
26	w	k	0.0123
27	n	-	0.0123
28	j	-	0.0123
29	a	e	0.0123
30	ə	ɨ	0.0123
31	h	r	0.0123
32	ɨ	e	0.0123
33	r	k	0.0123
34	ɨ	a	0.0123
35	i	a	0.0123
36	h	u	0.0123
