	Feature 1	Feature 2	proportion
0	cons	lo	0.0109
1	cons	ant	0.0217
2	lo	ant	0.0217
3	dorsal	hi	0.087
4	dorsal	ant	0.0543
5	hi	ant	0.0435
6	delrel	strid	0.0217
7	hireg	loreg	0.0109
8	cont	delrel	0.0109
9	cont	front	0.0109
10	cont	ant	0.0109
11	cont	strid	0.0217
12	delrel	front	0.0109
13	delrel	ant	0.0109
14	front	ant	0.0652
15	front	strid	0.0109
16	ant	strid	0.0109
17	cons	round	0.0109
18	dorsal	front	0.0543
19	hi	front	0.0435
20	cont	sg	0.0109
21	cont	hi	0.0109
22	cont	lo	0.0109
23	sg	hi	0.0109
24	sg	lo	0.0109
25	sg	strid	0.0217
26	hi	lo	0.0217
27	hi	strid	0.0109
28	lo	strid	0.0109
29	dorsal	back	0.0217
30	hi	back	0.0217
31	back	front	0.0326
32	dorsal	lab	0.0109
33	lab	hi	0.0109
34	cons	cor	0.0109
35	cons	hi	0.0109
36	cons	hitone	0.0109
37	cons	loreg	0.0109
38	cor	hi	0.0109
39	cor	hitone	0.0109
40	cor	loreg	0.0109
41	hi	hitone	0.0109
42	hi	loreg	0.0109
43	hitone	loreg	0.0109
44	back	ant	0.0109
45	front	distr	0.0217
46	ant	distr	0.0217
47	cons	dorsal	0.0109
48	cons	front	0.0109
49	dorsal	lo	0.0109
50	dorsal	distr	0.0109
51	hi	distr	0.0109
52	lo	front	0.0109
53	lo	distr	0.0109
