	Feature 1	Feature 2	proportion
0	hitone	hireg	0.0426
1	hitone	loreg	0.0213
2	hireg	loreg	0.0213
3	voi	cg	0.0213
4	voi	lo	0.0213
5	cg	lo	0.0638
6	hi	tense	0.0213
7	cg	laryngeal	0.0213
8	cg	dorsal	0.0213
9	cg	hi	0.0213
10	cg	back	0.0213
11	laryngeal	dorsal	0.0213
12	laryngeal	hi	0.0213
13	laryngeal	lo	0.0213
14	laryngeal	back	0.0213
15	dorsal	hi	0.0213
16	dorsal	lo	0.0426
17	dorsal	back	0.0426
18	hi	lo	0.0213
19	hi	back	0.0213
20	lo	back	0.0638
21	backshift	opening	0.0213
22	backshift	secondrounded	0.0213
23	opening	secondrounded	0.0213
24	lo	ant	0.0213
25	back	ant	0.0213
26	dorsal	front	0.0426
27	dorsal	ant	0.0213
28	dorsal	distr	0.0213
29	front	ant	0.0213
30	front	distr	0.0213
31	ant	distr	0.0213
32	lo	tense	0.0213
33	dorsal	lab	0.0213
34	lab	lo	0.0213
35	lab	back	0.0213
36	lab	front	0.0213
37	lo	front	0.0213
38	back	front	0.0213
