	Feature 1	Feature 2	proportion
0	voi	dorsal	0.01
1	voi	hi	0.01
2	voi	ant	0.01
3	dorsal	hi	0.03
4	dorsal	ant	0.03
5	hi	ant	0.03
6	cont	voi	0.01
7	cont	lo	0.01
8	voi	lo	0.01
9	hi	front	0.09
10	ant	distr	0.06
11	back	round	0.08
12	front	round	0.06
13	cont	sg	0.01
14	cont	strid	0.02
15	sg	strid	0.02
16	delrel	strid	0.02
17	back	front	0.05
18	hitone	loreg	0.04
19	dorsal	front	0.02
20	dorsal	distr	0.02
21	hi	distr	0.02
22	front	ant	0.02
23	front	distr	0.02
24	hi	lo	0.03
25	hi	back	0.04
26	hi	round	0.03
27	lo	back	0.03
28	lo	front	0.02
29	lo	round	0.02
30	voi	sg	0.02
31	delrel	ant	0.01
32	delrel	distr	0.01
33	ant	strid	0.01
34	distr	strid	0.01
35	cg	lo	0.01
36	nas	loreg	0.01
37	hi	tense	0.01
38	back	tense	0.01
39	tense	round	0.01
40	voi	strid	0.01
41	son	back	0.01
