	Feature 1	Feature 2	proportion
0	delrel	cg	0.0074
1	delrel	backshift	0.0037
2	delrel	closing	0.0037
3	cg	backshift	0.0037
4	cg	closing	0.0258
5	backshift	closing	0.0074
6	dorsal	hi	0.0258
7	voi	ant	0.0074
8	voi	distr	0.0111
9	ant	distr	0.0443
10	back	front	0.0148
11	back	round	0.0148
12	front	round	0.0111
13	hireg	loreg	0.0148
14	hitone	loreg	0.048
15	cg	lo	0.0996
16	cor	lab	0.0148
17	cor	ant	0.0148
18	cor	distr	0.0148
19	lab	ant	0.0185
20	lab	distr	0.0148
21	cons	son	0.0111
22	cons	dorsal	0.0221
23	cons	hi	0.0185
24	son	dorsal	0.0111
25	son	hi	0.0074
26	sg	cg	0.0148
27	sg	lo	0.0074
28	frontshift	closing	0.0074
29	lo	tense	0.0148
30	voi	cg	0.0111
31	voi	closing	0.0037
32	hi	back	0.0074
33	hi	front	0.0221
34	hi	round	0.0074
35	lo	backshift	0.0037
36	lo	closing	0.0221
37	hi	lo	0.0185
38	front	ant	0.0148
39	frontshift	opening	0.0037
40	opening	closing	0.0074
41	laryngeal	back	0.0037
42	laryngeal	round	0.0037
43	lo	strid	0.0148
44	cg	dorsal	0.0037
45	cg	front	0.0037
46	dorsal	front	0.0148
47	cor	hi	0.0037
48	cor	front	0.0037
49	lo	back	0.0037
50	lo	front	0.0037
51	lo	round	0.0074
52	sg	distr	0.0074
53	sg	closing	0.0037
54	cg	distr	0.0074
55	lo	distr	0.0074
56	distr	closing	0.0037
57	hi	ant	0.0074
58	hi	distr	0.0074
59	front	distr	0.0148
60	hi	hitone	0.0037
61	cg	strid	0.0148
62	strid	closing	0.0037
63	delrel	hi	0.0037
64	sg	ant	0.0037
65	delrel	nas	0.0037
66	delrel	strid	0.0074
67	nas	strid	0.0037
68	son	back	0.0037
69	son	front	0.0037
70	son	distr	0.0037
71	son	strid	0.0074
72	dorsal	back	0.0037
73	dorsal	distr	0.0074
74	dorsal	strid	0.0037
75	back	distr	0.0037
76	back	strid	0.0037
77	front	strid	0.0037
78	distr	strid	0.0074
79	voi	lo	0.0037
80	cons	cg	0.0074
81	cons	lo	0.0074
82	cg	ant	0.0074
83	lo	ant	0.0074
84	delrel	ant	0.0037
85	delrel	distr	0.0037
86	ant	strid	0.0074
87	cons	front	0.0037
88	cons	ant	0.0037
89	cons	distr	0.0037
90	dorsal	ant	0.0037
91	dorsal	lab	0.0037
92	lab	front	0.0037
93	voi	strid	0.0037
94	son	cg	0.0037
95	son	lo	0.0037
96	delrel	lo	0.0037
97	delrel	dorsal	0.0037
98	delrel	hitone	0.0037
99	delrel	loreg	0.0037
100	dorsal	hitone	0.0037
101	dorsal	loreg	0.0037
102	hi	opening	0.0037
103	hi	closing	0.0037
104	son	nas	0.0037
105	son	voi	0.0037
106	nas	voi	0.0037
