	Feature 1	Feature 2	proportion
0	back	front	0.0678
1	hitone	loreg	0.0221
2	cg	lo	0.0315
3	hi	back	0.0521
4	hi	round	0.0631
5	back	round	0.0757
6	cont	voi	0.0079
7	cont	lo	0.0016
8	cont	strid	0.0158
9	voi	lo	0.0032
10	voi	strid	0.0126
11	lo	strid	0.0016
12	hi	front	0.0473
13	front	round	0.0536
14	back	tense	0.0063
15	front	tense	0.0095
16	tense	round	0.011
17	delrel	dorsal	0.0016
18	delrel	lab	0.0032
19	delrel	round	0.0016
20	dorsal	lab	0.0032
21	dorsal	round	0.0032
22	lab	round	0.0016
23	hi	lo	0.0331
24	ant	distr	0.0363
25	cont	cor	0.0016
26	cont	dorsal	0.0016
27	cont	hi	0.0016
28	cont	back	0.0016
29	cont	front	0.0016
30	cor	dorsal	0.0032
31	cor	hi	0.0079
32	cor	back	0.0063
33	cor	front	0.0095
34	dorsal	hi	0.0205
35	dorsal	back	0.0079
36	dorsal	front	0.0063
37	lo	tense	0.0158
38	lab	ant	0.0016
39	lab	distr	0.0016
40	lo	round	0.0237
41	lo	back	0.0221
42	lo	front	0.0189
43	lo	long	0.0016
44	hi	tense	0.0126
45	cons	cont	0.0016
46	cons	nas	0.0016
47	cont	nas	0.0016
48	cor	tense	0.0032
49	cor	ant	0.0126
50	cor	distr	0.011
51	hi	ant	0.0095
52	hi	distr	0.0095
53	front	ant	0.0095
54	front	distr	0.0095
55	tense	ant	0.0032
56	tense	distr	0.0032
57	backshift	opening	0.0016
58	syl	lab	0.0016
59	syl	delrel	0.0032
60	syl	hi	0.0016
61	syl	lo	0.0016
62	delrel	hi	0.0016
63	delrel	lo	0.0016
64	back	ant	0.0063
65	back	distr	0.0063
66	round	ant	0.0016
67	round	distr	0.0032
68	dorsal	ant	0.0047
69	dorsal	distr	0.0047
70	laryngeal	cor	0.0032
71	laryngeal	front	0.0032
72	laryngeal	ant	0.0032
73	laryngeal	distr	0.0016
74	dorsal	strid	0.0063
75	hi	strid	0.0063
76	delrel	voi	0.0016
77	delrel	sg	0.0032
78	delrel	strid	0.0047
79	voi	sg	0.0047
80	sg	strid	0.0032
81	cg	back	0.0047
82	cg	front	0.0016
83	cg	hireg	0.0016
84	lo	hireg	0.0016
85	back	hireg	0.0016
86	front	hireg	0.0016
87	delrel	ant	0.0047
88	delrel	distr	0.0047
89	ant	strid	0.0032
90	distr	strid	0.0032
91	closing	secondrounded	0.0016
92	hitone	hireg	0.0016
93	hireg	loreg	0.0016
94	cont	sg	0.0032
95	lo	ant	0.0032
96	lo	distr	0.0032
97	cont	cg	0.0016
98	cg	strid	0.0016
99	delrel	front	0.0032
100	lab	front	0.0016
101	cg	laryngeal	0.0016
102	cg	dorsal	0.0016
103	cg	hi	0.0016
104	laryngeal	dorsal	0.0032
105	laryngeal	hi	0.0032
106	laryngeal	back	0.0032
107	syl	cor	0.0016
108	syl	tense	0.0016
109	syl	ant	0.0016
110	syl	distr	0.0016
111	delrel	cor	0.0016
112	delrel	tense	0.0016
113	voi	dorsal	0.0032
114	voi	hi	0.0032
115	voi	laryngeal	0.0016
116	voi	back	0.0016
117	laryngeal	lo	0.0016
118	dorsal	lo	0.0016
119	voi	ant	0.0016
120	voi	distr	0.0016
121	nas	tense	0.0016
122	dorsal	hitone	0.0016
123	dorsal	rising	0.0016
124	round	hitone	0.0016
125	round	rising	0.0016
126	hitone	rising	0.0016
127	cont	delrel	0.0016
128	cg	cor	0.0016
129	cg	ant	0.0016
130	cg	distr	0.0016
131	cor	lo	0.0016
132	sg	ant	0.0016
133	sg	distr	0.0016
