	Feature 1	Feature 2	proportion
0	lo	back	0.0167
1	lo	front	0.05
2	lo	round	0.0167
3	back	front	0.0333
4	back	round	0.0167
5	front	round	0.0167
6	cor	ant	0.05
7	cor	distr	0.0667
8	ant	distr	0.0667
9	cor	dorsal	0.0333
10	cor	hi	0.0167
11	cor	back	0.0333
12	cor	front	0.0167
13	dorsal	hi	0.0167
14	dorsal	back	0.0333
15	dorsal	front	0.0167
16	dorsal	distr	0.0333
17	hi	back	0.0167
18	hi	front	0.0333
19	hi	distr	0.0167
20	back	distr	0.0333
21	front	distr	0.0167
22	delrel	front	0.0167
23	delrel	strid	0.05
24	front	strid	0.0167
25	cont	cor	0.0167
26	cont	lab	0.0167
27	cont	ant	0.0167
28	cont	distr	0.0167
29	cont	strid	0.0167
30	cor	lab	0.0167
31	cor	strid	0.0167
32	lab	ant	0.0167
33	lab	distr	0.0167
34	lab	strid	0.0167
35	ant	strid	0.0167
36	distr	strid	0.0167
37	dorsal	ant	0.0167
38	back	ant	0.0167
39	hi	lo	0.0333
