	Feature 1	Feature 2	proportion
0	ant	distr	0.0383
1	hi	front	0.037
2	back	front	0.0275
3	back	round	0.0229
4	tense	long	0.0225
5	hi	lo	0.0214
6	dorsal	hi	0.0208
7	hi	back	0.0201
8	cg	lo	0.0195
9	front	ant	0.0174
10	front	round	0.017
11	hitone	loreg	0.0167
12	dorsal	ant	0.0159
13	lo	back	0.0154
14	dorsal	front	0.0149
15	hi	round	0.0148
16	hi	ant	0.0147
17	dorsal	distr	0.0146
18	hireg	loreg	0.0142
19	hi	distr	0.0142
20	front	distr	0.0142
21	cor	distr	0.0134
22	lo	front	0.0133
23	cor	ant	0.0129
24	cont	strid	0.0118
25	dorsal	back	0.0116
26	hi	tense	0.0113
27	lo	tense	0.0092
28	delrel	strid	0.0088
29	back	strid	0.0081
30	lo	round	0.0078
31	cons	hi	0.0075
32	dorsal	lo	0.0073
33	ant	strid	0.0072
34	cor	lab	0.0071
35	back	ant	0.0068
36	laryngeal	lo	0.0068
37	dorsal	lab	0.0065
38	lab	distr	0.0063
39	cont	back	0.0063
40	loreg	falling	0.0063
41	cons	son	0.0058
42	cor	back	0.0057
43	lab	ant	0.0056
44	front	tense	0.0056
45	back	distr	0.0055
46	cons	dorsal	0.0053
47	voi	strid	0.0052
48	distr	strid	0.0052
49	lo	strid	0.005
50	cons	ant	0.005
51	laryngeal	back	0.0049
52	laryngeal	front	0.0047
53	hi	long	0.0047
54	cons	distr	0.0046
55	back	tense	0.0046
56	cont	voi	0.0045
57	lo	ant	0.0044
58	hitone	hireg	0.0044
59	cons	front	0.0044
60	son	voi	0.0044
61	voi	cg	0.0043
62	delrel	dorsal	0.0043
63	cor	dorsal	0.0041
64	lab	front	0.004
65	son	hi	0.0039
66	cont	ant	0.0039
67	tense	round	0.0039
68	cont	front	0.0038
69	lo	distr	0.0037
70	hi	strid	0.0036
71	delrel	lab	0.0035
72	sg	strid	0.0034
73	delrel	ant	0.0034
74	voi	lo	0.0034
75	front	strid	0.0034
76	cg	distr	0.0033
77	cor	front	0.0033
78	delrel	cor	0.0033
79	closing	centering	0.0032
80	son	cont	0.0031
81	sg	ant	0.0029
82	voi	ant	0.0029
83	cons	voi	0.0029
84	hitone	falling	0.0029
85	cg	ant	0.0028
86	delrel	distr	0.0028
87	lab	back	0.0028
88	cont	sg	0.0028
89	cons	cont	0.0027
90	laryngeal	strid	0.0027
91	voi	hi	0.0027
92	voi	round	0.0026
93	cg	hi	0.0025
94	cg	laryngeal	0.0025
95	voi	distr	0.0024
96	tense	distr	0.0024
97	cont	distr	0.0024
98	hireg	falling	0.0024
99	sg	lo	0.0023
100	cons	round	0.0023
101	son	round	0.0023
102	son	front	0.0023
103	dorsal	strid	0.0023
104	syl	tense	0.0022
105	cont	nas	0.0022
106	backshift	closing	0.0022
107	opening	closing	0.0022
108	delrel	lo	0.0021
109	backshift	centering	0.0021
110	laryngeal	dorsal	0.0021
111	delrel	tense	0.0021
112	tense	ant	0.0021
113	lab	lo	0.0021
114	voi	back	0.0021
115	syl	delrel	0.0021
116	cor	hi	0.002
117	opening	centering	0.002
118	cg	back	0.002
119	laryngeal	hi	0.002
120	dorsal	tense	0.002
121	frontshift	closing	0.0019
122	frontshift	centering	0.0019
123	closing	secondrounded	0.0019
124	cor	tense	0.0019
125	lab	hi	0.0019
126	voi	laryngeal	0.0019
127	voi	front	0.0019
128	backshift	secondrounded	0.0018
129	cor	strid	0.0018
130	cont	hi	0.0018
131	centering	secondrounded	0.0017
132	cg	dorsal	0.0017
133	delrel	voi	0.0017
134	laryngeal	lab	0.0017
135	voi	sg	0.0017
136	syl	cor	0.0017
137	delrel	sg	0.0016
138	cont	round	0.0016
139	cont	delrel	0.0016
140	lab	tense	0.0016
141	sg	cg	0.0015
142	round	strid	0.0015
143	syl	lab	0.0015
144	cont	cor	0.0015
145	sg	distr	0.0014
146	opening	longdistance	0.0014
147	closing	longdistance	0.0014
148	centering	longdistance	0.0014
149	laryngeal	round	0.0014
150	son	back	0.0014
151	syl	dorsal	0.0014
152	delrel	front	0.0014
153	backshift	opening	0.0013
154	cont	laryngeal	0.0013
155	voi	dorsal	0.0013
156	cons	cor	0.0013
157	lo	long	0.0013
158	nas	back	0.0012
159	son	strid	0.0012
160	cg	strid	0.0012
161	frontshift	secondrounded	0.0012
162	voi	hitone	0.0011
163	nas	ant	0.0011
164	frontshift	opening	0.0011
165	round	long	0.0011
166	cont	lo	0.0011
167	nas	cor	0.0011
168	cont	dorsal	0.0011
169	voi	cor	0.001
170	cons	cg	0.001
171	backshift	frontshift	0.001
172	delrel	cg	0.001
173	delrel	back	0.001
174	front	long	0.001
175	laryngeal	ant	0.001
176	laryngeal	distr	0.001
177	nas	distr	0.001
178	cont	lab	0.001
179	cons	nas	0.0009
180	son	dorsal	0.0009
181	dorsal	round	0.0009
182	opening	secondrounded	0.0009
183	frontshift	longdistance	0.0009
184	back	long	0.0009
185	laryngeal	cor	0.0009
186	son	lab	0.0009
187	round	ant	0.0009
188	cons	lab	0.0009
189	son	cor	0.0009
190	nas	voi	0.0008
191	nas	tense	0.0008
192	son	nas	0.0008
193	cons	syl	0.0008
194	son	cg	0.0007
195	nas	hi	0.0007
196	cor	loreg	0.0007
197	delrel	hi	0.0007
198	syl	front	0.0007
199	cont	long	0.0007
200	round	distr	0.0007
201	cor	lo	0.0007
202	tense	closing	0.0007
203	tense	centering	0.0007
204	hi	velaric	0.0007
205	nas	lab	0.0007
206	son	distr	0.0007
207	cons	tense	0.0007
208	syl	lo	0.0006
209	nas	front	0.0006
210	hi	frontshift	0.0006
211	nas	strid	0.0006
212	syl	hitone	0.0006
213	son	ant	0.0006
214	cons	long	0.0006
215	cg	front	0.0005
