	Feature 1	Feature 2	proportion
0	delrel	dorsal	0.0076
1	delrel	lab	0.0076
2	delrel	lo	0.0076
3	dorsal	lab	0.0076
4	dorsal	lo	0.0076
5	lab	lo	0.0076
6	cont	back	0.0303
7	cont	strid	0.0303
8	back	strid	0.0455
9	delrel	strid	0.0303
10	laryngeal	lo	0.0303
11	dorsal	hi	0.0227
12	dorsal	front	0.0227
13	dorsal	ant	0.0227
14	dorsal	distr	0.0152
15	hi	front	0.0909
16	hi	ant	0.0227
17	hi	distr	0.0152
18	front	ant	0.0227
19	front	distr	0.0152
20	ant	distr	0.0303
21	cor	back	0.0076
22	cor	ant	0.0076
23	cor	distr	0.0076
24	cor	strid	0.0076
25	back	ant	0.0152
26	back	distr	0.0076
27	ant	strid	0.0152
28	distr	strid	0.0076
29	voi	laryngeal	0.0076
30	voi	lo	0.0076
31	voi	back	0.0076
32	voi	round	0.0152
33	voi	strid	0.0076
34	laryngeal	back	0.0152
35	laryngeal	round	0.0076
36	laryngeal	strid	0.0152
37	lo	back	0.0152
38	lo	round	0.0076
39	lo	strid	0.0152
40	back	round	0.0076
41	round	strid	0.0076
42	cont	laryngeal	0.0076
43	cont	front	0.0152
44	laryngeal	front	0.0227
45	back	front	0.0076
46	cons	son	0.0227
47	cons	cont	0.0076
48	cons	voi	0.0152
49	cons	front	0.0076
50	cons	round	0.0076
51	son	cont	0.0076
52	son	voi	0.0152
53	son	front	0.0076
54	son	round	0.0076
55	cont	voi	0.0076
56	cont	round	0.0076
57	voi	front	0.0076
58	front	round	0.0076
59	hi	lo	0.0227
60	hi	tense	0.0076
61	laryngeal	lab	0.0076
62	lab	front	0.0076
63	lo	front	0.0152
64	front	strid	0.0076
65	cons	hi	0.0152
66	son	hi	0.0152
67	voi	hi	0.0076
68	cont	ant	0.0076
