	Feature 1	Feature 2	proportion
0	syl	son	0.0007
1	syl	cont	0.0015
2	syl	delrel	0.0065
3	syl	cor	0.004
4	son	cont	0.0089
5	son	delrel	0.0004
6	son	cor	0.0042
7	cont	delrel	0.0009
8	cont	cor	0.0065
9	delrel	cor	0.0037
10	ant	distr	0.0351
11	cons	hi	0.0036
12	tense	long	0.1349
13	lo	back	0.0038
14	lo	front	0.0045
15	lo	round	0.004
16	back	front	0.0303
17	back	round	0.0222
18	front	round	0.0164
19	hi	tense	0.0283
20	hi	long	0.0251
21	voi	tense	0.0025
22	cons	cont	0.0044
23	cons	voi	0.0021
24	cont	voi	0.0054
25	lat	lab	0.0007
26	lat	long	0.0005
27	lat	strid	0.0004
28	lab	long	0.0021
29	lab	strid	0.0008
30	long	strid	0.0017
31	son	voi	0.0104
32	cor	hi	0.0062
33	cor	back	0.0089
34	cor	front	0.0067
35	cor	round	0.0003
36	hi	back	0.0207
37	hi	front	0.024
38	hi	round	0.0127
39	son	tense	0.002
40	cont	tense	0.0021
41	cont	nas	0.0069
42	cont	lab	0.0052
43	cont	ant	0.0059
44	cont	distr	0.0057
45	nas	cor	0.0033
46	nas	lab	0.0029
47	nas	ant	0.0029
48	nas	distr	0.0025
49	cor	lab	0.0135
50	cor	ant	0.0225
51	cor	distr	0.023
52	lab	ant	0.0095
53	lab	distr	0.01
54	lo	tense	0.0163
55	son	nas	0.0038
56	son	sg	0.0004
57	nas	voi	0.0025
58	nas	sg	0.0003
59	voi	sg	0.0004
60	son	long	0.0016
61	cont	long	0.0036
62	syl	voi	0.0008
63	syl	dorsal	0.0032
64	syl	tense	0.0054
65	son	dorsal	0.0029
66	voi	cor	0.0018
67	voi	dorsal	0.0011
68	cor	dorsal	0.0069
69	cor	tense	0.0037
70	dorsal	tense	0.0032
71	cont	back	0.0037
72	cont	front	0.0022
73	cons	son	0.0059
74	cons	cor	0.0053
75	syl	lab	0.0045
76	syl	long	0.0008
77	delrel	lab	0.0038
78	delrel	tense	0.0032
79	delrel	long	0.0007
80	lab	tense	0.003
81	lab	hi	0.0042
82	hi	ant	0.0107
83	hi	distr	0.0112
84	long	ant	0.0015
85	long	distr	0.0017
86	son	back	0.0026
87	son	front	0.002
88	son	ant	0.0026
89	son	distr	0.003
90	back	ant	0.0071
91	back	distr	0.0074
92	front	ant	0.0081
93	front	distr	0.0091
94	hi	lo	0.0058
95	dorsal	front	0.0122
96	lo	long	0.0077
97	round	long	0.0049
98	dorsal	hi	0.018
99	dorsal	ant	0.0103
100	dorsal	distr	0.011
101	cons	syl	0.0024
102	cons	lo	0.0004
103	cons	tense	0.0044
104	syl	lo	0.0003
105	cont	lo	0.0003
106	cor	lo	0.0012
107	son	lab	0.0036
108	son	hi	0.0029
109	son	round	0.0012
110	dorsal	lab	0.0062
111	dorsal	back	0.0089
112	dorsal	round	0.0022
113	lab	back	0.0026
114	lab	round	0.0015
115	nas	long	0.0011
116	cons	ant	0.0032
117	cons	distr	0.0034
118	voi	ant	0.0013
119	voi	distr	0.002
120	cons	dorsal	0.005
121	voi	lab	0.0025
122	cons	back	0.002
123	cons	round	0.0022
124	cont	dorsal	0.0034
125	cont	hi	0.0022
126	cont	round	0.0011
127	cons	delrel	0.002
128	cons	lab	0.0046
129	cons	nas	0.0012
130	cor	long	0.0021
131	cons	front	0.0015
132	back	tense	0.0067
133	front	tense	0.0079
134	lo	distr	0.0008
135	tense	distr	0.002
136	cons	strid	0.0004
137	son	strid	0.0036
138	voi	back	0.0011
139	voi	round	0.0004
140	voi	strid	0.0041
141	back	strid	0.0013
142	round	strid	0.0003
143	tense	round	0.0091
144	nas	dorsal	0.0015
145	lo	opening	0.0003
146	lo	longdistance	0.0004
147	opening	longdistance	0.0004
148	cont	sg	0.0028
149	cont	strid	0.0079
150	sg	strid	0.0028
151	syl	ant	0.0005
152	syl	distr	0.0009
153	delrel	ant	0.0005
154	delrel	distr	0.0007
155	son	lo	0.0004
156	dorsal	strid	0.0008
157	front	strid	0.0009
158	cor	strid	0.0015
159	lo	strid	0.0004
160	tense	strid	0.0001
161	dorsal	long	0.0013
162	delrel	dorsal	0.003
163	delrel	nas	0.0001
164	ant	strid	0.0013
165	nas	lo	0.0001
166	nas	tense	0.0004
167	round	ant	0.0007
168	round	distr	0.0009
169	lo	ant	0.0011
170	tense	ant	0.0015
171	cons	lat	0.0008
172	lat	hi	0.0013
173	lat	cor	0.0008
174	lat	ant	0.0016
175	lat	distr	0.002
176	syl	back	0.0005
177	syl	round	0.0007
178	delrel	back	0.0005
179	delrel	round	0.0005
180	nas	round	0.0001
181	back	long	0.0038
182	front	long	0.004
183	lat	voi	0.0007
184	cons	long	0.0012
185	distr	strid	0.0016
186	son	lat	0.0011
187	lat	back	0.0003
188	hi	closing	0.0001
189	lo	closing	0.0003
190	tense	closing	0.0003
191	voi	long	0.0012
192	syl	hi	0.0003
193	syl	front	0.0007
194	delrel	hi	0.0005
195	delrel	front	0.0005
196	hi	strid	0.0008
197	cont	lat	0.0015
198	son	laryngeal	0.0003
199	voi	laryngeal	0.0004
200	voi	lo	0.0004
201	voi	front	0.0017
202	laryngeal	lo	0.0004
203	laryngeal	front	0.0004
204	laryngeal	strid	0.0003
205	lat	dorsal	0.0007
206	opening	centering	0.0003
207	centering	longdistance	0.0003
208	voi	hi	0.0011
209	lab	front	0.0017
210	lab	lo	0.0005
211	nas	hi	0.0007
212	nas	front	0.0003
213	nas	strid	0.0009
214	lat	nas	0.0009
215	delrel	voi	0.0004
216	front	centering	0.0003
217	round	centering	0.0003
218	lat	lo	0.0003
219	lat	tense	0.0004
220	syl	nas	0.0001
221	lat	front	0.0004
222	lat	round	0.0001
223	nas	back	0.0004
224	sg	cor	0.0004
225	sg	lab	0.0001
226	cont	laryngeal	0.0001
227	laryngeal	lab	0.0001
228	sg	back	0.0003
229	front	opening	0.0001
230	round	opening	0.0001
231	lo	secondrounded	0.0001
232	tense	opening	0.0001
233	tense	longdistance	0.0001
234	tense	secondrounded	0.0001
235	opening	closing	0.0001
236	opening	secondrounded	0.0001
237	closing	longdistance	0.0001
238	closing	secondrounded	0.0001
239	longdistance	secondrounded	0.0001
240	lo	backshift	0.0001
241	lo	centering	0.0001
242	long	backshift	0.0001
243	long	centering	0.0001
244	long	longdistance	0.0001
245	backshift	centering	0.0001
246	backshift	longdistance	0.0001
247	dorsal	lo	0.0001
