Proportion	Fold	Family	ED	NED	B3_F1
0.8	1	Burmish	0.9488	0.2544	0.6893
0.8	2	Burmish	0.8512	0.2232	0.7233
0.8	3	Burmish	0.9023	0.2402	0.72
0.8	4	Burmish	0.9442	0.2515	0.7227
0.8	5	Burmish	0.9581	0.2622	0.7162
0.8	6	Burmish	1.0419	0.2768	0.7035
0.8	7	Burmish	0.9023	0.2405	0.7278
0.8	8	Burmish	0.9581	0.2522	0.7121
0.8	9	Burmish	1.0047	0.2644	0.6734
0.8	10	Burmish	0.9581	0.259	0.6986
0.8	1	Purus	0.5535	0.1092	0.8313
0.8	2	Purus	0.5346	0.1005	0.8385
0.8	3	Purus	0.478	0.0916	0.8462
0.8	4	Purus	0.5346	0.1002	0.8359
0.8	5	Purus	0.522	0.1039	0.847
0.8	6	Purus	0.5031	0.0946	0.8384
0.8	7	Purus	0.5283	0.0977	0.841
0.8	8	Purus	0.5409	0.1029	0.8447
0.8	9	Purus	0.5409	0.1034	0.8338
0.8	10	Purus	0.4654	0.0863	0.8511
0.8	1	Lalo	0.8571	0.2731	0.5979
0.8	2	Lalo	0.7662	0.2437	0.6423
0.8	3	Lalo	0.7772	0.2433	0.621
0.8	4	Lalo	0.8292	0.2604	0.6115
0.8	5	Lalo	0.8292	0.2611	0.615
0.8	6	Lalo	0.8142	0.2574	0.6161
0.8	7	Lalo	0.7862	0.2501	0.626
0.8	8	Lalo	0.7802	0.2481	0.626
0.8	9	Lalo	0.8541	0.2683	0.5976
0.8	10	Lalo	0.8022	0.2529	0.6182
0.8	1	Bai	0.9319	0.2492	0.668
0.8	2	Bai	1.0381	0.2672	0.6485
0.8	3	Bai	0.8883	0.2324	0.674
0.8	4	Bai	0.9482	0.2453	0.6473
0.8	5	Bai	0.8447	0.2255	0.6703
0.8	6	Bai	0.8828	0.2281	0.6795
0.8	7	Bai	0.9755	0.2497	0.648
0.8	8	Bai	0.9046	0.237	0.6651
0.8	9	Bai	0.8665	0.2246	0.68
0.8	10	Bai	0.9918	0.2586	0.635
0.8	1	Karen	0.8836	0.2301	0.7307
0.8	2	Karen	0.7671	0.198	0.7448
0.8	3	Karen	0.8801	0.2283	0.7015
0.8	4	Karen	0.7089	0.1793	0.753
0.8	5	Karen	0.7192	0.1885	0.7551
0.8	6	Karen	0.8425	0.2202	0.7393
0.8	7	Karen	0.7808	0.2034	0.7442
0.8	8	Karen	0.7534	0.1963	0.7486
0.8	9	Karen	0.7842	0.2036	0.7416
0.8	10	Karen	0.7432	0.1882	0.7481
0.8	1	Romance	1.5383	0.1843	0.7282
0.8	2	Romance	1.4346	0.1768	0.7415
0.8	3	Romance	1.4458	0.1782	0.7392
0.8	4	Romance	1.4665	0.1794	0.7363
0.8	5	Romance	1.5124	0.1846	0.7302
0.8	6	Romance	1.4765	0.1785	0.7355
0.8	7	Romance	1.4967	0.1821	0.7324
0.8	8	Romance	1.4895	0.1818	0.7327
