Proportion	Family	ED	NED	B3_F1
0.8	Burmish	0.94697	0.25244	0.70869
0.8	Purus	0.5201299999999999	0.09903000000000002	0.8407900000000001
0.8	Lalo	0.8095800000000001	0.25584	0.6171599999999999
0.8	Bai	0.92724	0.24175999999999997	0.66157
0.8	Karen	0.7863	0.20359	0.7406900000000001
0.8	Romance	1.47868	0.18023999999999998	0.7354200000000001
0.5	Burmish	0.55522	0.14778	0.80826
0.5	Purus	0.46765	0.0893	0.85443
0.5	Lalo	0.6710400000000001	0.21285999999999997	0.6636899999999999
0.5	Bai	0.67949	0.17524	0.7369800000000001
0.5	Karen	0.59397	0.15288000000000002	0.7970600000000001
0.5	Romance	1.28246	0.15745	0.7651100000000002
0.1	Burmish	0.40740999999999994	0.10574000000000003	0.9053699999999999
0.1	Purus	0.41999999999999993	0.08107	0.8935900000000002
0.1	Lalo	0.6039999999999999	0.19191999999999998	0.7265699999999999
0.1	Bai	0.6717399999999999	0.17429	0.7799200000000001
0.1	Karen	0.49167000000000005	0.12695	0.8729699999999999
0.1	Romance	1.15398	0.14263	0.78837
