Proportion	Fold	Family	ED	NED	B3_F1
0.8	1	Burmish	1.0744	0.2942	0.6794
0.8	2	Burmish	1.1023	0.2904	0.656
0.8	3	Burmish	1.0186	0.2711	0.6829
0.8	4	Burmish	1.2791	0.3428	0.6616
0.8	5	Burmish	0.9953	0.2712	0.7085
0.8	6	Burmish	1.093	0.2947	0.6705
0.8	7	Burmish	1.0047	0.2641	0.7089
0.8	8	Burmish	1.2093	0.3245	0.6374
0.8	9	Burmish	0.9953	0.2678	0.7026
0.8	10	Burmish	1.2744	0.3402	0.6483
0.8	1	Purus	0.6164	0.1251	0.8109
0.8	2	Purus	0.4277	0.0797	0.8632
0.8	3	Purus	0.5472	0.1043	0.8241
0.8	4	Purus	0.6541	0.1228	0.7992
0.8	5	Purus	0.6478	0.1287	0.8093
0.8	6	Purus	0.5346	0.1037	0.8333
0.8	7	Purus	0.5849	0.1084	0.8225
0.8	8	Purus	0.5912	0.1125	0.8197
0.8	9	Purus	0.6101	0.1231	0.8166
0.8	10	Purus	0.5975	0.1113	0.8191
0.8	1	Lalo	0.8052	0.2572	0.6236
0.8	2	Lalo	0.8092	0.255	0.6092
0.8	3	Lalo	0.7892	0.2503	0.628
0.8	4	Lalo	0.8232	0.2619	0.6143
0.8	5	Lalo	0.8362	0.2651	0.6052
0.8	6	Lalo	0.8641	0.2757	0.6058
0.8	7	Lalo	0.8442	0.2707	0.6026
0.8	8	Lalo	0.7592	0.2403	0.632
0.8	9	Lalo	0.8132	0.2591	0.6083
0.8	10	Lalo	0.6993	0.2208	0.6567
0.8	1	Bai	1.0872	0.28	0.6269
0.8	2	Bai	1.1172	0.2882	0.6198
0.8	3	Bai	1.0654	0.2767	0.626
0.8	4	Bai	0.9591	0.2445	0.6574
0.8	5	Bai	1.0654	0.2699	0.6219
0.8	6	Bai	1.0218	0.2638	0.635
0.8	7	Bai	1.0272	0.2624	0.6392
0.8	8	Bai	0.9237	0.2397	0.6725
0.8	9	Bai	0.9673	0.2528	0.6629
0.8	10	Bai	1.0054	0.2582	0.6344
0.8	1	Karen	1.0719	0.2802	0.6726
0.8	2	Karen	0.911	0.2413	0.7115
0.8	3	Karen	0.9658	0.2486	0.6789
0.8	4	Karen	0.9486	0.2457	0.6987
0.8	5	Karen	0.9041	0.2434	0.7182
0.8	6	Karen	0.8733	0.2278	0.6986
0.8	7	Karen	0.9623	0.2514	0.6978
0.8	8	Karen	0.8322	0.2164	0.7415
0.8	9	Karen	1.0274	0.2692	0.679
0.8	10	Karen	0.9932	0.2574	0.6949
0.8	1	Romance	1.4488	0.1759	0.7453
0.8	2	Romance	1.4216	0.1736	0.746
0.8	3	Romance	1.4801	0.1817	0.7358
0.8	4	Romance	1.4162	0.1722	0.746
0.8	5	Romance	1.4328	0.1736	0.7438
0.8	6	Romance	1.362	0.1671	0.754
0.8	7	Romance	1.4846	0.179	0.7372
0.8	8	Romance	1.4385	0.1766	0.7423
0.8	9	Romance	1.4286	0.1726	0.7469
0.8	10	Romance	1.4247	0.1725	0.7468
0.5	1	Burmish	0.6716	0.1854	0.7804
0.5	2	Burmish	0.7537	0.2025	0.7563
