Proportion	Family	ED	NED	B3_F1
0.8	Burmish	1.10464	0.2961	0.6756099999999999
0.8	Purus	0.58115	0.11195999999999999	0.82179
0.8	Lalo	0.8042999999999999	0.25561	0.61857
0.8	Bai	1.0239699999999998	0.26362	0.6396
0.8	Karen	0.94898	0.24814000000000003	0.6991700000000001
0.8	Romance	1.43379	0.17448000000000002	0.74441
0.5	Burmish	0.6753499999999999	0.18217999999999998	0.7841699999999999
0.5	Purus	0.4454199999999999	0.08619000000000002	0.85954
0.5	Lalo	0.6683200000000001	0.21187	0.6673899999999999
0.5	Bai	0.8074299999999999	0.20578	0.7025100000000001
0.5	Karen	0.6873599999999999	0.18048000000000003	0.76527
0.5	Romance	1.25706	0.15485	0.7720400000000001
0.1	Burmish	0.4963	0.13006	0.8890399999999999
0.1	Purus	0.47000000000000003	0.09009999999999999	0.88261
0.1	Lalo	0.6167999999999999	0.19465	0.7221799999999999
0.1	Bai	0.7521699999999999	0.19467	0.7632
0.1	Karen	0.60279	0.15473	0.8487399999999999
0.1	Romance	1.15517	0.1428	0.78942
