Proportion	Fold	Proto-Lang	ED	NED	B3_F1
0.8	1	[ProtoBai]	2.2888	0.6153	0.5054
0.8	1	[ProtoBurmish]	2.6837	0.7079	0.5129
0.8	1	[ProtoKaren]	2.1541	0.5476	0.5401
0.8	1	[ProtoLalo]	1.992	0.6495	0.4994
0.8	1	[ProtoPurus]	1.4969	0.2965	0.71
0.8	1	[Latin]	5.4123	0.643	0.4982
0.8	2	[ProtoBai]	2.3597	0.6274	0.4959
0.8	2	[ProtoBurmish]	2.7209	0.7147	0.5063
0.8	2	[ProtoKaren]	2.1199	0.5436	0.5432
0.8	2	[ProtoLalo]	1.989	0.65	0.4957
0.8	2	[ProtoPurus]	1.5597	0.3094	0.7054
0.8	2	[Latin]	5.3345	0.6388	0.5021
0.8	3	[ProtoBai]	2.3052	0.6188	0.5114
0.8	3	[ProtoBurmish]	2.6698	0.7056	0.5093
0.8	3	[ProtoKaren]	2.1678	0.5542	0.5287
0.8	3	[ProtoLalo]	1.983	0.6494	0.5015
0.8	3	[ProtoPurus]	1.4654	0.295	0.7086
0.8	3	[Latin]	5.3412	0.6407	0.4983
0.8	4	[ProtoBai]	2.3079	0.6192	0.5102
0.8	4	[ProtoBurmish]	2.693	0.7154	0.5198
0.8	4	[ProtoKaren]	2.1747	0.551	0.5329
0.8	4	[ProtoLalo]	1.994	0.6498	0.4994
0.8	4	[ProtoPurus]	1.6101	0.3148	0.6816
0.8	4	[Latin]	5.3457	0.6382	0.5026
0.8	5	[ProtoBai]	2.3297	0.6248	0.5077
0.8	5	[ProtoBurmish]	2.6512	0.7029	0.5145
0.8	5	[ProtoKaren]	2.1199	0.5451	0.5474
0.8	5	[ProtoLalo]	1.978	0.6446	0.5026
0.8	5	[ProtoPurus]	1.5157	0.303	0.7136
0.8	5	[Latin]	5.3894	0.6419	0.499
0.8	6	[ProtoBai]	2.346	0.6272	0.4981
0.8	6	[ProtoBurmish]	2.7023	0.714	0.5153
0.8	6	[ProtoKaren]	2.1473	0.5454	0.5291
0.8	6	[ProtoLalo]	2.003	0.6537	0.4939
0.8	6	[ProtoPurus]	1.4717	0.2921	0.7138
0.8	6	[Latin]	5.3924	0.6426	0.4988
0.8	7	[ProtoBai]	2.3542	0.6243	0.498
0.8	7	[ProtoBurmish]	2.7023	0.7098	0.5098
0.8	7	[ProtoKaren]	2.1301	0.5472	0.5401
0.8	7	[ProtoLalo]	1.981	0.6481	0.4991
0.8	7	[ProtoPurus]	1.5912	0.3091	0.7039
0.8	7	[Latin]	5.3469	0.6386	0.5025
0.8	8	[ProtoBai]	2.3243	0.6219	0.5063
0.8	8	[ProtoBurmish]	2.7302	0.7221	0.505
0.8	8	[ProtoKaren]	2.1404	0.5514	0.5419
0.8	8	[ProtoLalo]	1.983	0.6476	0.5031
0.8	8	[ProtoPurus]	1.566	0.306	0.7026
0.8	8	[Latin]	5.3623	0.6406	0.4997
0.8	9	[ProtoBai]	2.3025	0.6124	0.5074
0.8	9	[ProtoBurmish]	2.7395	0.7188	0.5128
0.8	9	[ProtoKaren]	2.161	0.5557	0.5337
0.8	9	[ProtoLalo]	1.995	0.6513	0.489
0.8	9	[ProtoPurus]	1.5409	0.3069	0.7044
0.8	9	[Latin]	5.3912	0.6408	0.5005
0.8	10	[ProtoBai]	2.2943	0.6181	0.5083
0.8	10	[ProtoBurmish]	2.707	0.7103	0.5006
0.8	10	[ProtoKaren]	2.1849	0.5592	0.525
0.8	10	[ProtoLalo]	1.987	0.648	0.492
0.8	10	[ProtoPurus]	1.522	0.3007	0.7043
0.8	10	[Latin]	5.3888	0.64	0.4999
