Language	ED	NED	B3_F1
[1]	1.1026	0.2395	0.7182
[10]	0.8125	0.1664	0.7702
[2]	1.2258	0.2531	0.6821
[3]	1.1667	0.2794	0.7652
[4]	0.8571	0.2161	0.7986
[5]	1.8	0.6167	0.8765
[6]	0.7333	0.1673	0.8196
[7]	1.3913	0.3342	0.7714
[8]	0.5357	0.1236	0.879
[9]	1.6	0.3642	0.7285
[Beijing]	0.2692	0.0779	0.9221
[Changsha]	0.7885	0.2115	0.7761
[Chaozhou]	1.3846	0.3628	0.6305
[Chengdu]	0.2115	0.0622	0.9298
[Fuzhou]	1.1923	0.3032	0.7056
[Guangzhou]	0.7885	0.2266	0.7598
[Hankou]	0.2308	0.0776	0.938
[Jinan]	0.3269	0.0952	0.9045
[Meixian]	0.7115	0.1888	0.7602
[Nanchang]	0.9231	0.2513	0.7192
[Shanghai]	1.0769	0.2772	0.6928
[Shuangfeng]	1.3654	0.367	0.6374
[Suzhou]	0.7115	0.2071	0.7981
[Taiyuan]	0.6538	0.1635	0.8058
[Wenzhou]	1.4808	0.4266	0.5752
[Xiamen]	1.0385	0.2708	0.7193
[XiAn]	0.4038	0.108	0.8883
[Yangzhou]	1.0577	0.2862	0.715
[ZhongyuanYinyun]	0.5962	0.1487	0.8282
[cojubim]	0.6471	0.1539	0.8395
[jaru]	1.9375	0.3606	0.5773
[kitemoka]	2.9444	0.4982	0.4646
[more]	0.8421	0.1974	0.7402
[orowin]	1.4211	0.2654	0.7073
[tapakura]	2.3684	0.4242	0.5425
[tora]	1.4737	0.2982	0.6351
[urupa]	1.3158	0.2444	0.6813
[wanyam]	1.7368	0.3032	0.6635
[wari]	2.0	0.3503	0.578
[Duhumbi]	0.3043	0.1268	0.8648
[Jerigaon]	0.337	0.1522	0.8417
[Khispi]	0.163	0.0652	0.9119
[Khoina]	0.5217	0.2446	0.7881
[Khoitam]	0.2391	0.0996	0.8567
[Rahung]	0.337	0.1449	0.8086
[Rupa]	0.3043	0.1196	0.8502
[Shergaon]	0.25	0.1123	0.8756
[BelejeGonfoye]	1.8	0.345	0.7114
[Fadashi]	1.1	0.2114	0.7787
[Maiyu]	1.0	0.1793	0.817
[Undulu]	1.05	0.1835	0.7701
[BanPaw]	0.35	0.1333	0.8955
[ChaYeQing]	0.75	0.275	0.8383
[ChuDongGua]	0.7	0.275	0.8651
[GuangKa]	0.5	0.1833	0.9091
[HtanHsan]	0.6	0.2417	0.8469
[KhunHawt]	0.55	0.225	0.8857
[MangBang]	0.25	0.1	0.9699
[ManLoi]	0.85	0.3333	0.8662
[MengDan]	1.1	0.4042	0.7656
[NamHsan]	0.7	0.2667	0.8639
[NanSang]	0.4	0.15	0.9113
[NoeLae]	0.4	0.1667	0.9161
[NyaungGone]	0.4	0.1583	0.893
[PangKham]	0.85	0.3417	0.8332
[PongNuea]	0.75	0.3167	0.8729
[XiangZhaiTang]	0.7	0.2917	0.9146
[AchangLongchuan]	1.1522	0.2841	0.6839
[Atsi]	1.2553	0.3252	0.6047
[Bola]	0.7955	0.2106	0.7422
[Lashi]	1.7872	0.4975	0.5266
[Maru]	1.1522	0.3159	0.6878
[OldBurmese]	0.7436	0.2286	0.7526
[ProtoBurmish]	0.6383	0.1709	0.8161
[Rangoon]	2.0638	0.5457	0.4607
[Xiandao]	1.3404	0.3606	0.6168
[Albanian]	2.7647	0.7951	0.4604
[English]	1.9	0.5958	0.6213
[French]	2.5238	0.7333	0.5053
[German]	2.05	0.615	0.6503
[Latin]	2.8571	0.6421	0.4443
[Kayah]	0.3158	0.0987	0.9002
[Kayan]	0.5	0.1281	0.8535
[Kayaw]	0.2632	0.0811	0.9147
[NorthernPao]	0.2895	0.0684	0.9218
[NorthernPwo]	0.7632	0.2022	0.7817
[ProtoKaren]	0.6053	0.1509	0.8661
[SouthernPao]	0.2105	0.0491	0.9421
[WesternBwe]	0.6842	0.2171	0.7906
[Dashi]	0.6667	0.1977	0.7837
[Ega]	0.5303	0.1568	0.8065
[Enqi]	0.7273	0.2083	0.7424
[Gongxing]	0.6667	0.1869	0.7858
[Jinman]	0.7879	0.2321	0.7566
[Jinxing]	0.5152	0.1545	0.8277
[Mazhelong]	0.6515	0.1919	0.8191
[ProtoBai]	0.7273	0.1859	0.7973
[Tuoluo]	0.6818	0.1745	0.7604
[Zhoucheng]	0.5758	0.1793	0.7822
