Family	Language	ED	NED	B3_F1
bantubvd	[1]	0.6154	0.1344	0.8374
bantubvd	[10]	0.7188	0.1534	0.8035
bantubvd	[2]	0.6129	0.1359	0.836
bantubvd	[3]	1.0833	0.2585	0.8049
bantubvd	[4]	0.8571	0.2042	0.7726
bantubvd	[5]	1.2	0.4	0.8837
bantubvd	[6]	0.7	0.1653	0.8292
bantubvd	[7]	1.1739	0.2755	0.7715
bantubvd	[8]	0.5357	0.1357	0.8695
bantubvd	[9]	1.3	0.2975	0.7441
beidazihui	[Beijing]	0.0962	0.0288	0.9699
beidazihui	[Changsha]	0.3462	0.1022	0.8935
beidazihui	[Chaozhou]	1.1346	0.2933	0.6813
beidazihui	[Chengdu]	0.1538	0.051	0.9546
beidazihui	[Fuzhou]	0.9615	0.249	0.7468
beidazihui	[Guangzhou]	0.6731	0.1939	0.7909
beidazihui	[Hankou]	0.0769	0.024	0.9732
beidazihui	[Jinan]	0.0962	0.0337	0.9627
beidazihui	[Meixian]	0.6154	0.1596	0.7798
beidazihui	[Nanchang]	0.5385	0.1615	0.8332
beidazihui	[Shanghai]	0.8462	0.2295	0.7337
beidazihui	[Shuangfeng]	0.6923	0.1862	0.769
beidazihui	[Suzhou]	0.4615	0.1429	0.8602
beidazihui	[Taiyuan]	0.4423	0.0971	0.8628
beidazihui	[Wenzhou]	1.1346	0.3333	0.6556
beidazihui	[Xiamen]	0.5192	0.1423	0.8277
beidazihui	[XiAn]	0.1538	0.0545	0.9577
beidazihui	[Yangzhou]	0.5577	0.1574	0.835
beidazihui	[ZhongyuanYinyun]	0.5385	0.1349	0.8446
birchallchapacuran	[cojubim]	0.7647	0.1667	0.8276
birchallchapacuran	[jaru]	1.4375	0.2478	0.6731
birchallchapacuran	[kitemoka]	2.7222	0.4642	0.4509
birchallchapacuran	[more]	1.1053	0.211	0.713
birchallchapacuran	[orowin]	1.3684	0.2424	0.684
birchallchapacuran	[tapakura]	1.7895	0.3253	0.5826
birchallchapacuran	[tora]	2.2632	0.4324	0.565
birchallchapacuran	[urupa]	1.5263	0.3001	0.6587
birchallchapacuran	[wanyam]	1.2632	0.2567	0.7241
birchallchapacuran	[wari]	2.0526	0.3663	0.5927
bodtkhobwa	[Duhumbi]	0.25	0.1159	0.8763
bodtkhobwa	[Jerigaon]	0.2609	0.1033	0.8575
